Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0370549371204185,0.0374878650392429,0.0486708995010525,0.0570080382600792,0.0456996082249427,0.0639269698296666,0.263715760645502,0.234036914423758,0.232175631246749,0.208857195602366,0.20332756862023,0.200151071015376,..,..,..
Afghanistan,AFG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,319.847107262897,332.22000973489,322.668009493498,345.925813841934,568.964543504121,565.179273313985,556.007220861443,552.996907717033,553.355051712755,546.743010078504,555.138996255113,529.741210284938,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.026213108529,1.0522280929869,1.22910118288698,1.35214448140818,1.41727335767255,1.35149180454706,1.65452427763954,1.80678854066866,1.75998705871449,1.71412617289866,1.94887203810602,1.93973156347946,..,..,..
Albania,ALB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,3.8509836751779,4.6916890080429,6.04601391118245,2.14342948717949,2.49732429539779,1.28605548410803,0,0,0,..,..,..,..,..,..
Albania,ALB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.8509836751779,4.6916890080429,6.04601391118245,2.14342948717949,2.49732429539779,1.28605548410803,0,0,0,..,..,..,..,..,..
Albania,ALB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Albania,ALB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Albania,ALB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,96.1490163248221,95.3083109919571,93.9539860888176,97.8565705128205,97.5026757046022,98.713944515892,100,100,100,..,..,..,..,..,..
Albania,ALB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960.88194605323,2143.52627804401,2247.49749138029,2380.64399716233,2522.44871366768,2675.50793605792,3780.69820209921,3855.7597340804,3952.80253807527,4090.37165668632,4249.80373367692,4431.53918101288,4544.51500532738,4389.89621046134,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.53171179217169,2.3773101154148,2.52424179354584,2.59854905872488,2.59664758084302,2.68448722945473,3.40612323474996,3.56620883406526,3.6742329469226,3.53501992705652,3.50574766242013,3.59165741835207,..,..,..
Algeria,DZA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,99.7875019675744,99.7408450704225,99.7938368055556,99.1038517466437,99.1968,98.3635559486953,99.4489898146602,99.6046200305096,99.6773162010524,..,..,..,..,..,..
Algeria,DZA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.04186998268535,2.91079812206573,2.15928819444444,2.32322207568226,2.1984,2.1141088014153,1.50609450659542,0.993119765885247,1.31980580830838,..,..,..,..,..,..
